rank,company_name,previous_rank,ceo,address,website,ticker,stock_price,stock_net_change,stock_percent_yield,stock_date,description,revenue_millions,revenue_percentchange_previous_year,profit_millions,profit_percentchange_previous_year,total_assets_millions,total_shareholder_equity_millions,market_value_03312014_millions,profit_percentsales,profit_percentassets,profit_percentstockholder_equity,earnings_per_share,eps_percentchange_from_2012,eps_percentchange_5_year,eps_percentchange_10_year,total_return_investors,total_annualized_return_investors_5_year,total_annualized_return_investors_10_year
323,Masco Corporation,336,Keith J. Allman,"21001 Van Born Rd., Taylor, MI 48180",www.masco.com,MAS,27.16,0.67,0.0253,5/14/2015 16:01,,8438,0.08,272,,6933,535,7915,3.2,3.9,50.8,0.76,,,-7.4,38.7,18.5,1.2
324,"Universal Health Services, Inc.",337,Alan B. Miller,"367 S. Gulph Rd., King of Prussia, PA 19406",www.uhsinc.com,UHS,122.11,2.26,0.0189,5/14/2015 16:01,,8419,0.082,511,0.152,8312,3250,8093,6.1,6.1,15.7,5.14,13.5,21.2,12.4,68.5,34.8,12.4
325,"Republic Services, Inc.",323,Donald W. Slager,"18500 N. Allied Way, Phoenix, AZ 85054",www.republicservices.com,RSG,40.74,0.7,0.0175,5/14/2015 15:59,,8417,0.037,589,0.03,19949,7904,12318,7,3,7.5,1.62,4.5,34.4,8.2,16.6,9.1,9.3
326,MasterCard Incorporated,348,Ajaypal S. Banga,"2000 Purchase St., Purchase, NY 10577",www.mastercard.com,MA,93.84,1.32,0.0143,5/14/2015 16:03,,8346,0.129,3116,0.129,14242,7484,88634,37.3,21.9,41.6,2.56,16.7,,,70.6,42.7,
327,Newmont Mining Corporation,274,Gary J. Goldberg,"6363 S. Fiddler's Green Circle, Greenwood Village, CO 80111",www.newmont.com,NEM,27.2,-0.11,-0.004,5/14/2015 16:00,,8322,-0.157,-2464.361,24764,10141,11561,-29.6,-9.9,-24.3,-4.94,-236.1,,,,-48.4,-8.9,-5.8
328,Broadcom Corporation,327,Scott A. McGregor,"5300 California Ave., Irvine, CA 92617",www.broadcom.com,BRCM,47.18,0.53,0.0113,5/14/2015 16:00,,8305,0.037,424,-0.41,11495,8371,18284,5.1,3.7,5.1,0.73,-41.6,12.2,,-9.4,12.8,3.2
329,Reynolds American Inc.,316,Daniel M. Delen,"401 N. Main St., Winston-Salem, NC 27101",www.reynoldsamerican.com,RAI,76.97,0.84,0.011,5/14/2015 16:03,,8236,-0.008,1718,0.351,15402,5167,28683,20.9,11.2,33.2,3.14,40.2,6.6,,27.2,27.7,19.9
330,PVH Corp.,422,Emanuel Chirico,"200 Madison Ave., New York, NY 10016",www.pvh.com,PVH,103.02,0,0,5/14/2015 16:00,,8186,0.355,144,-0.669,11576,4335,10256,1.8,1.2,3.3,1.74,-70.4,-0.2,,22.7,46.9,23
331,"Charter Communications, Inc.",340,Thomas M. Rutledge,"400 Atlantic St., Stamford, CT 06901",www.charter.com,CHTR,176.79,-0.62,-0.0035,5/14/2015 16:00,,8155,0.087,-169,,17295,151,13077,-2.1,-1,-111.9,-1.65,,,,79.4,,
332,AECOM Technology Corporation,320,Michael S. Burke,"555 S. Flower St., Los Angeles, CA 90071",www.aecom.com,ACM,33.86,0.69,0.0208,5/14/2015 16:00,,8154,-0.008,239,,5666,2021,3186,2.9,4.2,11.8,2.35,,10.8,,23.7,-0.9,
333,"CenterPoint Energy, Inc.",344,Scott M. Prochazka,"1111 Louisiana St., Houston, TX 77002",www.centerpointenergy.com,CNP,20.2,0.36,0.0181,5/14/2015 16:02,,8106,0.088,311,-0.254,21870,4329,10159,3.8,1.4,7.2,0.72,-25.8,-11.1,-7.6,24.8,18.5,14
334,Pacific Life,369,James T. Morris,"700 Newport Center Dr., Newport Beach, CA 92660",www.pacificlife.com,,,,,,,8106,0.179,720,0.565,129921,8936,,8.9,0.6,8.1,,,,,,,
335,Thrivent Financial for Lutherans,325,Bradford L. Hewitt,"625 Fourth Ave. S., Minneapolis, MN 55415",www.thrivent.com,,,,,,,8101,0.01,414,-0.15,75589,5798,,5.1,0.5,7.1,,,,,,,
336,"Becton, Dickinson and Company",332,Vincent A. Forlenza,"1 Becton Dr., Franklin Lakes, NJ 07417",www.bd.com,BDX,141.04,2.18,0.0157,5/14/2015 16:02,,8074,0.016,1293,0.105,12149,5043,22598,16,10.6,25.6,6.49,16.1,7.8,12.1,44.2,12.5,12.3
337,"Franklin Resources, Inc.",362,Gregory E. Johnson,"1 Franklin Pkwy., San Mateo, CA 94403",www.franklinresources.com,BEN,52.14,0.58,0.0112,5/14/2015 16:03,,7985,0.124,2150,0.113,15390,10073,34179,26.9,14,21.3,3.37,13,8.7,17.8,38.6,25,14.8
338,Tenneco Inc.,349,Gregg M. Sherrill,"500 N. Field Dr., Lake Forest, IL 60045",www.tenneco.com,TEN,60.3,0.18,0.003,5/14/2015 15:59,,7964,0.082,183,-0.335,3830,433,3537,2.3,4.8,42.3,2.97,-34,,16.4,61.1,80.5,23.8
339,TravelCenters of America LLC,329,Thomas M. O'Brien,"24601 Center Ridge Rd., Westlake, OH 44145",www.tatravelcenters.com,TA,15.06,0.03,0.002,5/14/2015 16:02,,7963,-0.004,17,-0.466,1209,375,306.7,0.2,1.4,4.6,0.58,-48.2,,,107.2,32.3,
340,"Avis Budget Group, Inc.",350,Ronald L. Nelson,"6 Sylvan Way, Parsippany, NJ 07054",www.avisbudgetgroup.com,CAR,51.07,0.72,0.0143,5/14/2015 16:00,,7937,0.079,16,-0.945,16284,771,5208,0.2,0.1,2.1,0.15,-93.8,,-35.1,103.9,125.1,2.3
341,"Facebook, Inc.",482,Mark Zuckerberg,"1601 Willow Rd., Menlo Park, CA 94025",www.facebook.com,FB,81.37,2.93,0.0374,5/14/2015 16:00,,7872,0.547,1500,27.3,17895,15470,154449,19.1,8.4,9.7,0.6,5900,,,105.3,,
342,"Dollar Tree, Inc.",346,Bob Sasser,"500 Volvo Pkwy., Chesapeake, VA 23320",www.dollartree.com,DLTR,76.97,-0.88,-0.0113,5/14/2015 16:00,,7840,0.06,597,-0.036,2772,1171,10760,7.6,21.5,51,2.72,1.5,26.4,18.1,39.1,32.3,18.9
343,Corning Incorporated,326,Wendell P. Weeks,"1 Riverfront Plaza, Corning, NY 14831",www.corning.com,GLW,21.37,0.29,0.0138,5/14/2015 16:00,,7819,-0.024,1961,0.135,28478,21162,28984,25.1,6.9,9.3,1.34,16.5,-16.6,,45,15.4,6.6
344,Ashland Inc.,321,James J. O'Brien,"50 E. RiverCenter Blvd., Covington, KY 41011",www.ashland.com,ASH,127.34,1.71,0.0136,5/14/2015 16:04,,7813,-0.048,683,25.26,12088,4553,7740,8.7,5.7,15,8.57,2497,26.6,22.8,22.4,58,11.8
345,Sealed Air Corporation,333,Jerome A. Peribere,"200 Riverfront Blvd., Elmwood Park, NJ 07407",www.sealedair.com,SEE,49.36,1.37,0.0285,5/14/2015 15:59,,7780,-0.018,124,,9134,1389,6449,1.6,1.4,8.9,0.58,,-10.1,-5.3,98.3,20.9,4.1
346,"Core-Mark Holding Company, Inc.",368,Thomas B. Perkins,"395 Oyster Point Blvd., South San Francisco, CA 94080",www.core-mark.com,CORE,54.2,0.84,0.0157,5/14/2015 16:00,,7717,0.118,42,0.227,957,434,837.3,0.5,4.3,9.6,3.58,23,16.9,,61.8,29.5,
347,Oshkosh Corporation,322,Charles L. Szews,"2307 Oregon St., Oshkosh, WI 54902",www.oshkoshcorporation.com,OSK,54.9,1.32,0.0246,5/14/2015 16:04,,7686,-0.062,318,0.378,4766,2108,4952,4.1,6.7,15.1,3.55,41.4,27.3,12.6,70.4,41.9,7.8
348,"Coca-Cola Enterprises, Inc.",339,John F. Brock,"2500 Windy Ridge Pkwy., Atlanta, GA 30339",www.cokecce.com,CCE,46.38,1.13,0.025,5/14/2015 16:03,,7657,0.013,667,-0.015,9525,2280,12104,8.7,7,29.3,2.44,8.4,,,42,,
349,"WESCO International, Inc.",385,John J. Engel,"225 W. Station Square Dr., Pittsburgh, PA 15219",www.wesco.com,WCC,72.88,0.6,0.0083,5/14/2015 16:04,,7513,0.142,276,0.37,4617,1765,3693,3.7,6,15.7,5.25,32.9,1.3,23.2,35.1,36.5,26.3
350,"Applied Materials, Inc.",302,Gary E. Dickerson,"3050 Bowers Ave., Santa Clara, CA 95054",www.appliedmaterials.com,AMAT,20.25,0.32,0.0161,5/14/2015 16:19,,7509,-0.139,256,1.349,12043,7088,24583,3.4,2.1,3.6,0.21,133.3,-21.4,,58.5,14.6,-0.7
351,Visteon Corporation,359,Timothy D. Leuliette,"1 Village Center Dr., Van Buren Township, MI 48111",www.visteon.com,VC,106.64,0.24,0.0023,5/14/2015 16:04,,7439,0.04,690,5.9,6027,1920,4280,9.3,11.4,35.9,13.5,618.1,,,52.2,,
352,BorgWarner Inc.,358,James R. Verrier,"3850 Hamlin Rd., Auburn Hills, MI 48326",www.borgwarner.com,BWA,61.66,0.38,0.0062,5/14/2015 16:03,,7437,0.035,624,0.246,6917,3561,14011,8.4,9,17.5,2.7,29.5,,12.9,56.9,39,18.8
353,"Spectrum Group International, Inc.",331,Gregory N. Roberts,"1063 McGaw Ave, Irvine, CA 92614",www.spectrumgi.com,SPGZ,554,-16,-0.0281,5/14/2015 13:29,,7406,-0.071,3,-0.171,371,79,19,,0.9,4.3,0.11,-8.3,,-6.7,7,4.9,-15.2
354,"Oaktree Capital Group, LLC",,John B. Frank,"333 S. Grand Ave., Los Angeles, CA 90071",www.oaktreecapital.com,OAK,52.47,0.4,0.0077,5/14/2015 16:02,,7405,-0.018,222,1.059,45263,474,2530,3,0.5,46.8,6.35,65.8,,,41.1,,
355,"Steel Dynamics, Inc.",354,Mark D. Millett,"7575 W. Jefferson Blvd., Fort Wayne, IN 46804",www.steeldynamics.com,STLD,21.8,0.04,0.0018,5/14/2015 16:00,,7373,0.011,189,0.158,5933,2547,3967,2.6,3.2,7.4,0.83,13.7,-19,13,46.3,14.8,15.3
356,Jarden Corporation,383,James E. Lillie,"1800 N. Military Trail, Boca Raton, FL 33431",www.jarden.com,JAH,54.32,1.64,0.0311,5/14/2015 16:00,,7356,0.099,204,-0.164,10096,2550,7960,2.8,2,8,1.77,-14.4,,11.4,78,52.4,17.9
357,"Mohawk Industries, Inc.",442,Jeffrey S. Lorberbaum,"160 S. Industrial Blvd., Calhoun, GA 30701",www.mohawkind.com,MHK,183.12,1.77,0.0098,5/14/2015 16:02,,7349,0.27,349,0.394,8494,4461,9886,4.7,4.1,7.8,4.82,33.5,,0.4,64.6,28.2,7.8
358,Terex Corporation,351,Ronald M. DeFeo,"200 Nyala Farm Rd., Westport, CT 06880",www.terex.com,TEX,28.76,0.37,0.013,5/14/2015 16:01,,7310,-0.005,226,1.136,6537,2190,4904,3.1,3.5,10.3,1.93,107.5,21.8,,49.6,19.4,11.4
359,Northeast Utilities,402,Thomas J. May,"1 Federal St., Springfield, MA 01105",www.nu.com,,,,,,,7301,0.164,786,0.494,27796,9612,14352,10.8,2.8,8.2,2.49,31.7,8.3,10.6,12.3,16,11.4
360,"KBR, Inc.",334,Stuart Bradie,"601 Jefferson St., Houston, TX 77002",www.kbr.com,KBR,18.3,0.01,0.0005,5/14/2015 16:04,,7283,-0.081,229,0.59,5516,2617,3952,3.1,4.2,8.8,1.54,58.8,-4.2,,7.4,17,
361,Fifth Third Bancorp,361,Kevin T. Kabat,"38 Fountain Square Plaza, Cincinnati, OH 45263",www.53.com,FITB,20.63,0.14,0.0066,5/14/2015 16:00,,7200,0.013,1836,0.165,130443,14589,19545,25.5,1.4,12.6,2.02,21.7,,-4,41.9,22.4,-7.2
362,UGI Corporation,388,John L. Walsh,"460 N. Gulph Rd., King of Prussia, PA 19406",www.ugicorp.com,UGI,36.47,1.18,0.0334,5/14/2015 16:02,,7195,0.103,278,0.323,10009,2493,5234,3.9,2.8,11.2,2.41,30.3,3.9,7.7,30.5,14.9,12.8
363,"CBRE Group, Inc.",387,Robert E. Sulentic,"400 S. Hope St., Los Angeles, CA 90071",www.cbre.com,CBG,38.52,0.92,0.0245,5/14/2015 16:02,,7194,0.103,317,0.003,6998,1896,9105,4.4,4.5,16.7,0.95,-2.1,,,32.2,43.5,
364,Quest Diagnostics Incorporated,341,Stephen H. Rusckowski,"3 Giralda Farms, Madison, NJ 07940",www.questdiagnostics.com,DGX,71.7,0.82,0.0116,5/14/2015 16:02,,7174,-0.043,849,0.528,8948,3948,8358,11.8,9.5,21.5,5.54,60.1,13.3,10.4,-6.2,1.7,4.8
365,Peabody Energy Corporation,315,Gregory H. Boyce,"701 Market St., St. Louis, MO 63101",www.peabodyenergy.com,BTU,4.42,-0.03,-0.0067,5/14/2015 16:00,,7150,-0.139,-525,,14133,3909,4433,-7.3,-3.7,-13.4,-1.97,,,,-25.3,-2,8.1
366,The Hershey Company,384,John P. Bilbrey,"100 Crystal A Dr., Hershey, PA 17033",www.thehersheycompany.com,HSY,96.1,1.8,0.0191,5/14/2015 15:59,,7146,0.076,821,0.241,5358,1605,23365,11.5,15.3,51.1,3.61,24.9,21.6,7.6,37.4,26,12.3
367,Boston Scientific Corporation,357,Michael F. Mahoney,"1 Boston Scientific Place, Natick, MA 01760",www.bostonscientific.com,BSX,17.91,0.68,0.0395,5/14/2015 16:00,,7143,-0.015,-121,,16571,6539,17903,-1.7,-0.7,-1.9,-0.09,,,,109.8,9.2,-10.6
368,"FMC Technologies, Inc.",417,John T. Gremp,"5875 N. Sam Houston Pkwy. W., Houston, TX 77086",www.fmctechnologies.com,FTI,41.58,0.13,0.0031,5/14/2015 16:06,,7126,0.158,501,0.166,6606,2317,12341,7,7.6,21.6,2.1,18,8.6,22.2,21.9,34.4,25.2
369,"The Interpublic Group of Companies, Inc.",366,Michael I. Roth,"1114 Ave. of the Americas, New York, NY 10036",www.interpublic.com,IPG,21.14,0.34,0.0163,5/14/2015 16:02,,7122,0.024,268,-0.4,12905,2215,7268,3.8,2.1,12.1,0.61,-35.1,3.2,,63.9,36.7,1.9
370,Commercial Metals Company,335,Joseph Alvarado,"6565 N. MacArthur Blvd., Irving, TX 75039",www.cmc.com,CMC,16.6,0.18,0.011,5/14/2015 16:03,,7047,-0.103,77,-0.627,3495,1270,2214,1.1,2.2,6.1,0.66,-62.9,-19.6,14.9,40.9,15.1,12.9
371,"The Pantry, Inc.",347,Dennis G. Hatchell,"305 Gregson Dr., Cary, NC 27511",www.thepantry.com,,,,,,,7013,-0.051,-3,,1715,324,360,,-0.2,-0.9,-0.13,,,,38.3,-4.8,-3
372,"Owens-Illinois, Inc.",364,Albert P.L. Stroucken,"1 Michael Owens Way, Perrysburg, OH 43551",www.o-i.com,OI,25.84,-0.14,-0.0054,5/14/2015 16:02,,6967,-0.005,184,,8419,1456,5573,2.6,2.2,12.6,1.11,,-6.1,,68.2,5.5,11.6
373,American Family Ins. Group,393,Jack C. Salzwedel,"6000 American Pkwy., Madison, WI 53783",www.amfam.com,,,,,,,6954,0.077,379,0.051,19490,6581,,5.4,1.9,5.8,,,,,,,
374,Ralph Lauren Corporation,370,Ralph Lauren,"650 Madison Ave., New York, NY 10022",www.ralphlauren.com,RL,131.69,2.51,0.0194,5/14/2015 16:06,,6945,0.012,750,0.101,5418,3785,14417,10.8,13.8,19.8,8,12.2,14.9,16.3,18.6,32,20.5
375,Biogen Idec Inc.,454,George A. Scangos,"225 Binney St., Cambridge, MA 02142",www.biogenidec.com,BIIB,394.35,4.31,0.0111,5/14/2015 16:00,,6932,0.257,1862,0.349,11863,8620,72305,26.9,15.7,21.6,7.81,35.6,24.1,,91,42.5,22.5
376,"PetSmart, Inc.",377,David K. Lenhardt,"19601 N. 27th Ave., Phoenix, AZ 85027",www.petm.com,,,,,,,6917,0.023,420,0.077,2522,1094,6798,6.1,16.6,38.4,4.02,13.2,21.5,15.5,7.2,33.1,12.7
377,Mylan Inc.,374,Heather M. Bresch,"1000 Mylan Blvd., Canonsburg, PA 15317",www.mylan.com,MYL,71.53,0.68,0.0096,5/14/2015 16:00,,6909,0.017,624,-0.027,15236,2942,18160,9,4.1,21.2,1.58,3.9,,5,58.1,34.4,5.9
378,Symantec Corporation,379,Michael Brown,"350 Ellis St., Mountain View, CA 94043",www.symantec.com,SYMC,25.43,0.11,0.0043,5/14/2015 16:03,,6906,0.026,765,-0.347,14379,5421,13810,11.1,5.3,14.1,1.08,-31.2,15.7,10.9,27.7,12.2,3.4
379,Ameren Corporation,373,Warner L. Baxter,"1901 Chouteau Ave., St. Louis, MO 63103",www.ameren.com,AEE,40.26,0.43,0.0108,5/14/2015 16:03,,6875,0.007,289,,21042,6544,9996,4.2,1.4,4.4,1.18,,-16.3,-9.6,23.2,7.2,2.9
380,"The Williams Companies, Inc.",342,Alan S. Armstrong,"1 Williams Center, Tulsa, OK 74172",www.williams.com,WMB,53.23,0.02,0.0004,5/14/2015 16:01,,6860,-0.084,430,-0.499,27142,4864,27773,6.3,1.6,8.8,0.62,-54.7,-23.7,,22.6,30.8,19.6
381,"Barnes & Noble, Inc.",360,Michael P. Huseby,"122 Fifth Ave., New York, NY 10011",www.barnesandnobleinc.com,BKS,22.12,0.05,0.0023,5/14/2015 16:02,,6839,-0.041,-158,,3733,714,1251,-2.3,-4.2,-22.1,-3.02,,,,-0.9,2.2,-2.6
382,"Huntington Ingalls Industries, Inc.",380,C. Michael Petters,"4101 Washington Ave., Newport News, VA 23607",www.huntingtoningalls.com,HII,124.15,1.56,0.0127,5/14/2015 16:02,,6820,0.017,261,0.788,6225,1521,5039,3.8,4.2,17.2,5.18,78,,,109.3,,
383,The Priceline Group Inc.,473,Darren R. Huston,"800 Connecticut Ave., Norwalk, CT 06854",www.pricelinegroup.com,PCLN,1190.09,12.34,0.0105,5/14/2015 16:00,,6793,0.291,1893,0.333,10445,6910,62147,27.9,18.1,27.4,36.11,30.5,55.4,63.2,87.4,73.6,51.8
384,"Agilent Technologies, Inc.",371,William P. Sullivan,"5301 Stevens Creek Blvd., Santa Clara, CA 95051",www.agilent.com,A,42.05,0.24,0.0057,5/14/2015 16:03,,6782,-0.011,724,-0.372,10686,5286,18644,10.7,6.8,13.7,2.1,-35.8,2.3,,41.1,30.1,7.8
385,Dana Holding Corporation,356,Roger J. Wood,"3939 Technology Dr., Maumee, OH 43537",www.dana.com,DAN,21.89,0.03,0.0014,5/14/2015 16:00,,6769,-0.067,244,-0.187,5129,1309,3674,3.6,4.8,18.6,-0.09,-106.4,,,27,93.6,
386,"Dillard’s, Inc.",378,William T. Dillard II,"1600 Cantrell Rd., Little Rock, AR 72201",www.dillards.com,DDS,124.2,-2.34,-0.0185,5/14/2015 16:01,,6692,-0.009,324,-0.037,4051,1992,4059,4.8,8,16.2,7.1,3.3,,51.7,16.3,93.2,21.1
387,Seaboard Corporation,411,Steven J. Bresky,"9000 W. 67th St., Shawnee Mission, KS 66202",www.seaboardcorp.com,SEB,3395.26,120.54,0.0368,5/14/2015 16:00,,6670,0.078,205,-0.273,3418,2475,3114,3.1,6,8.3,171.92,-26.7,7.8,21.1,10.5,18.8,26.1
388,"Vanguard Health Systems, Inc.",391,Charles N. Martin Jr.,"20 Burton Hills Blvd., Nashville, TN 37215",www.tenethealth.com,,,,,,,6667,0.027,62,0.08,5043,393,,0.9,1.2,15.8,0.75,5.6,,,,,
389,"Casey’s General Stores, Inc.",392,Robert J. Myers,"1 Convenience Blvd., Ankeny, IA 50021",www.caseys.com,CASY,83.52,0.84,0.0102,5/14/2015 16:00,,6655,0.03,111,-0.053,1984,602,2601,1.7,5.6,18.4,2.86,-5.9,11.4,13.6,33.7,26.8,16
390,"O’Reilly Automotive, Inc.",412,Gregory L. Henslee,"233 S. Patterson Ave., Springfield, MO 65802",www.oreillyauto.com,ORLY,222.28,2.7,0.0123,5/14/2015 16:00,,6649,0.076,670,0.144,6067,1966,15783,10.1,11,34.1,6.03,26.9,32.4,20.7,43.9,33.2,20.9
391,The Blackstone Group L.P.,585,Stephen A. Schwarzman,"345 Park Ave., New York, NY 10154",www.blackstone.com,BX,43.09,0.51,0.012,5/14/2015 16:02,,6613,0.645,1171,4.358,29679,6307,19219,17.7,3.9,18.6,1.98,382.9,,,113.1,43.9,
392,Mutual of Omaha Insurance Company,394,Daniel P. Neary,"Mutual of Omaha Plaza, Omaha, NE 68175",www.mutualofomaha.com,,,,,,,6602,0.026,359,0.266,32234,4734,,5.4,1.1,7.6,,,,,,,
393,"Molina Healthcare, Inc.",423,Joseph M. Molina,"200 Oceangate, Long Beach, CA 90802",www.molinahealthcare.com,MOH,69.17,1,0.0147,5/14/2015 16:06,,6589,0.093,53,4.406,3003,893,1726,0.8,1.8,5.9,1.13,438.1,-5.5,-1,28.4,24.2,7.5
394,CMS Energy Corporation,406,John G. Russell,"1 Energy Plaza, Jackson, MI 49201",www.cmsenergy.com,CMS,33.35,0.59,0.018,5/14/2015 16:01,,6566,0.05,452,0.183,17416,3454,7823,6.9,2.6,13.1,1.66,16.9,6.2,,14.1,26.5,14.9
395,Targa Resources Corp.,435,Joe Bob Perkins,"1000 Louisiana St., Houston, TX 77002",www.targaresources.com,TRGP,100.25,-1.35,-0.0133,5/14/2015 16:02,,6556,0.114,65,0.709,6049,149,4185,1,1.1,43.8,1.55,70.3,,,71.9,,
396,"Quanta Services, Inc.",397,James F. O'Neil III,"2800 Post Oak Blvd., Houston, TX 77056",www.quantaservices.com,PWR,29.37,0.14,0.0048,5/14/2015 16:03,,6523,0.017,402,0.311,5793,4234,7872,6.2,6.9,9.5,1.87,29.9,16.3,,15.6,9.8,15.8
397,Cablevision Systems Corporation,382,James L. Dolan,"1111 Stewart Ave., Bethpage, NY 11714",www.cablevision.com,CVC,20.3,0.25,0.0125,5/14/2015 16:01,,6522,-0.027,466,0.994,6591,-5284,4515,7.1,7.1,,1.75,101.1,,,24.7,16.2,8.9
398,Avery Dennison Corporation,375,Dean A. Scarborough,"207 Goode Ave., Glendale, CA 91203",www.averydennison.com,AVY,60.51,0.68,0.0114,5/14/2015 16:04,,6520,-0.036,216,0.002,4611,1492,4864,3.3,4.7,14.5,2.16,3.8,-4.4,-2.1,47.4,12.5,1.9
399,Celanese Corporation,396,Mark C. Rohr,"222 W. Las Colinas Blvd., Irving, TX 75039",www.celanese.com,CE,66.93,0.41,0.0062,5/14/2015 16:02,,6510,0.014,1101,0.82,9018,2699,8711,16.9,12.2,40.8,6.91,82.3,31.9,,25.5,35.8,
400,"Foot Locker, Inc.",413,Ken C. Hicks,"112 W. 34th St., New York, NY 10120",www.footlocker-inc.com,FL,61.3,-0.05,-0.0008,5/14/2015 16:03,,6505,0.052,429,0.081,3487,2496,6842,6.6,12.3,17.2,2.85,10.5,,7.4,31.9,46.5,8.9
401,Celgene Corporation,456,Robert J. Hugin,"86 Morris Ave., Summit, NJ 07901",www.celgene.com,CELG,115.08,1.68,0.0148,5/14/2015 16:00,,6494,0.179,1450,-0.004,13378,5590,56680,22.3,10.8,25.9,3.37,2.1,,55.8,115.3,25,31.2
402,"Advance Auto Parts, Inc.",409,Darren R. Jackson,"5008 Airport Rd., Roanoke, VA 24012",www.advanceautoparts.com,AAP,149.86,0.48,0.0032,5/14/2015 16:03,,6494,0.047,392,0.011,5565,1516,9225,6,7,25.8,5.32,1.9,16.3,16.9,53.4,27.4,15.6
403,"Mattel, Inc.",395,Bryan G. Stockton,"333 Continental Blvd., El Segundo, CA 90245",www.mattel.com,MAT,26.73,0.56,0.0214,5/14/2015 16:00,,6485,0.01,904,0.164,6440,3252,13651,13.9,14,27.8,2.58,16.2,19.7,7.8,34.3,28.7,13.3
404,"Live Nation Entertainment, Inc.",439,Michael Rapino,"9348 Civic Center Dr., Beverly Hills, CA 90210",www.livenation.com,LYV,27,0.35,0.0131,5/14/2015 16:00,,6479,0.113,-43,,5684,1409,4352,-0.7,-0.8,-3.1,-0.22,,,,112.2,28,
405,General Cable Corporation,425,Gregory B. Kenny,"4 Tesseneer Dr., Highland Heights, KY 41076",www.generalcable.com,BGC,18.75,0.03,0.0016,5/14/2015 16:03,,6421,0.06,-23.14,4579,1280,1261,-0.3,-0.4,-1.4,-0.37,-562.5,,,,-1.5,11.1,13.9
406,"Ryder System, Inc.",404,Robert E. Sanchez,"11690 N.W. 105th St., Miami, FL 33178",www.ryder.com,R,95.1,1.58,0.0169,5/14/2015 16:01,,6419,0.026,238,0.132,9104,1897,4240,3.7,2.6,12.5,4.53,10.8,5.2,8.2,50.8,16.5,10.2
407,"EMCOR Group, Inc.",399,Anthony J. Guzzi,"301 Merritt Seven, Norwalk, CT 06851",www.emcorgroup.com,EME,46.28,0.68,0.0149,5/14/2015 16:03,,6417,0.011,124,-0.155,3466,1466,3131,1.9,3.6,8.4,1.82,-15.7,-7.7,18.5,23.2,14.1,14.7
408,"Allergan, Inc.",440,David E.I. Pyott,"2525 Dupont Dr., Irvine, CA 92612",www.allergan.com,,,,,,,6415,0.105,985,-0.103,10574,6463,38172,15.4,9.3,15.2,3.26,-8.9,11.5,,21.3,22.8,11.6
409,W.R. Berkley Corporation,438,William R. Berkley,"475 Steamboat Rd., Greenwich, CT 06830",www.wrberkley.com,WRB,50,0.22,0.0044,5/14/2015 16:05,,6409,0.1,500,-0.021,20552,4336,5349,7.8,2.4,11.5,3.55,-0.3,17,7.5,16,8.6,12
410,"Rockwell Automation, Inc.",403,Keith D. Nosbusch,"1201 S. Second St., Milwaukee, WI 53204",www.rockwellautomation.com,ROK,124.41,1.44,0.0117,5/14/2015 16:03,,6352,0.015,756,0.026,5845,2586,17285,11.9,12.9,29.3,5.36,4.5,6.6,13.5,43.7,32.9,15.2
411,"NetApp, Inc.",408,Thomas Georgens,"495 E. Java Dr., Sunnyvale, CA 94089",www.netapp.com,NTAP,35.96,0.66,0.0187,5/14/2015 16:00,,6332,0.016,505,-0.165,11242,4718,12224,8,4.5,10.7,1.37,-13.3,9.8,20.1,23.5,24.3,7.3
412,Ingredion Incorporated,386,Ilene S. Gordon,"5 Westbrook Corporate Center, Westchester, IL 60154",www.ingredion.com,INGR,81.7,1.02,0.0126,5/14/2015 16:03,,6328,-0.031,396,-0.074,5360,2404,5071,6.3,7.4,16.5,5.05,-7.7,7.5,17,8.4,20.9,16.5
413,"Level 3 Communications, Inc.",398,Jeffrey K. Storey,"1025 Eldorado Blvd., Broomfield, CO 80021",www.level3.com,LVLT,55.28,0.36,0.0066,5/14/2015 16:00,,6313,-0.01,-109,,12874,1411,9207,-1.7,-0.8,-7.7,-0.49,,,,43.5,25.9,-9
414,Calpine Corporation,459,John B. Hill,"717 Texas Ave., Houston, TX 77002",www.calpine.com,CPN,20.68,0.01,0.0005,5/14/2015 16:02,,6301,0.15,14,-0.93,16559,3514,8843,0.2,0.1,0.4,0.03,-92.9,8.4,,7.6,21.8,
415,"Omnicare, Inc.",416,John L. Workman,"201 E. Fourth St., Cincinnati, OH 45202",www.omnicare.com,OCR,91.81,0.57,0.0062,5/14/2015 16:03,,6277,0.019,-44.223,6692,2741,5954,-0.7,-0.6,-1.6,-0.39,-122.5,,,,69.3,17.7,4.6
416,Erie Insurance Group,455,Terrence W. Cavanaugh,"100 Erie Insurance Place, Erie, PA 16530",www.erieinsurance.com,,,,,,,6271,0.138,163,0.019,16676,7550,,2.6,1,2.2,,,,,,,
417,SLM Corporation,418,Raymond J. Quinlan,"300 Continental Dr., Newark, DE 19713",www.salliemae.com,SLM,10.7,0.21,0.02,5/14/2015 16:00,,6263,0.025,1418,0.51,159543,5637,10494,22.6,0.9,25.2,3.12,64.2,,-0.5,57.4,26.1,-2.2
418,"D.R. Horton, Inc.",545,Donald J. Tomnitz,"301 Commerce St., Fort Worth, TX 76102",www.drhorton.com,DHI,25.79,0.51,0.0202,5/14/2015 16:00,,6259,0.438,463,-0.516,8856,4059,7005,7.4,5.2,11.4,1.33,-52,,-4.2,12.8,27.3,1.9
