rank,company_name,previous_rank,ceo,address,website,ticker,stock_price,stock_net_change,stock_percent_yield,stock_date,description,revenue_millions,revenue_percentchange_previous_year,profit_millions,profit_percentchange_previous_year,total_assets_millions,total_shareholder_equity_millions,market_value_03312014_millions,profit_percentsales,profit_percentassets,profit_percentstockholder_equity,earnings_per_share,eps_percentchange_from_2012,eps_percentchange_5_year,eps_percentchange_10_year,total_return_investors,total_annualized_return_investors_5_year,total_annualized_return_investors_10_year
275,State Street Corporation,268,Joseph L. Hooley,"1 Lincoln St., Boston, MA 02111",www.statestreet.com,STT,77.71,-0.29,-0.0037,5/14/2015 15:59,,10295,0.017,2136,0.036,243291,20378,30020,20.7,0.9,10.5,4.62,10,1.4,7.9,58.7,14.6,4.8
276,"Air Products & Chemicals, Inc.",273,John E. McGlade,"7201 Hamilton Blvd., Allentown, PA 18195",www.airproducts.com,APD,147.62,2.67,0.0184,5/14/2015 15:59,,10233,0.037,994,-0.148,17850,7042,25197,9.7,5.6,14.1,4.68,-14,2.4,10.1,36.9,20.6,10.4
277,"Ross Stores, Inc.",278,Michael A. Balmuth,"5130 Hacienda Dr., Dublin, CA 94568",www.rossstores.com,ROST,99.31,-1.93,-0.0191,5/14/2015 15:59,,10230,0.052,837,0.064,3897,2007,15242,8.2,21.5,41.7,3.88,9.9,27.2,18.1,39.9,39.8,20.1
278,The Sherwin-Williams Company,282,Christopher M. Connor,"101 W. Prospect Ave. , Cleveland, OH 44115",www.sherwin.com,SHW,291.25,3.32,0.0115,5/14/2015 15:59,,10186,0.068,753,0.193,6383,1775,19771,7.4,11.8,42.4,7.26,20.6,12.7,12.4,20.6,27.4,20.3
279,The Estée Lauder Companies Inc.,279,Fabrizio Freda,"767 Fifth Ave., New York, NY 10153",www.elcompanies.com,EL,89.38,1.84,0.021,5/14/2015 15:59,,10182,0.048,1020,0.19,7145,3287,25899,10,14.3,31,2.58,19.4,16.5,15.1,27.2,38.7,15.8
280,"BlackRock, Inc.",286,Laurence D. Fink,"55 E. 52nd St., New York, NY 10055",www.blackrock.com,BLK,371.4,6.27,0.0172,5/14/2015 15:59,,10180,0.09,2932,0.193,219873,26460,52678,28.8,1.3,11.1,16.87,22.3,23.3,,57,21.8,
281,"Western Refining, Inc.",283,Jeff A. Stevens,"123 W. Mills Ave., El Paso, TX 79901",www.wnr.com,WNR,46.88,1.46,0.0321,5/14/2015 15:59,,10086,0.061,276,-0.308,5513,894,3077,2.7,5,30.9,2.79,-24.8,24,,53.3,43.8,
282,"Avon Products, Inc.",252,Sherilyn S. McCoy,"777 Third Ave., New York, NY 10017",www.avoncompany.com,AVP,7.08,0.41,0.0615,5/14/2015 15:59,,10010,-0.066,-56,,6492,1110,6353,-0.6,-0.9,-5.1,-0.13,,,,21.4,-3.4,-4
283,The Mosaic Company,246,James T. Prokopanko,"3033 Campus Dr., Plymouth, MN 55441",www.mosaicco.com,MOS,45.9,0.48,0.0106,5/14/2015 16:05,,9974,-0.102,1889,-0.022,18086,13425,19942,18.9,10.4,14.1,4.42,,-1.1,,-14.9,7.8,
284,Public Service Enterprise Group Incorporated,276,Ralph Izzo,"80 Park Plaza, Newark, NJ 07102",www.pseg.com,PEG,42.29,0.61,0.0146,5/14/2015 15:59,,9968,0.019,1243,-0.025,32522,11608,19305,12.5,3.8,10.7,2.45,-2.4,0.9,-0.3,9.4,6.4,8.1
